时间	A1	黑马线	趋势线  三条线的顺序一致，三条线各自的abs差值之和最小者为最类似的k线
2009-08-18	53.504	66.320	-4.307
2009-08-19	44.489	59.043	-5.716
2009-08-20	40.609	52.898	-4.279
2009-08-21	38.807	48.201	2.492
2009-08-24	38.228	44.877	10.109
2009-08-25	35.706	41.820	14.454
2009-08-26	35.058	39.566	16.979
2009-08-27	33.979	37.704	19.825
2009-08-28	30.727	35.378	18.811
2009-08-31	24.698	31.818	12.927
2009-09-01	20.808	28.148	7.187
2009-09-02	18.441	24.912	5.192
2009-09-03	19.650	23.158	8.460
2009-09-04	21.013	22.443	15.354
2009-09-07	22.569	22.485	22.306
2009-09-08	24.992	23.321	30.442
2009-09-09	27.306	24.649	38.866
2009-09-10	28.648	25.982	46.624
2009-09-11	31.270	27.744	55.830
2009-09-14	34.249	29.913	70.824
2009-09-15	36.799	32.208	86.411
2009-09-16	38.027	34.148	94.388
2009-09-17	40.455	36.250	99.921
2009-09-18	40.068	37.523	100.517
2009-09-21	39.862	38.303	95.538
2009-09-22	38.041	38.215	88.351
2009-09-23	35.275	37.235	76.862
2009-09-24	33.321	35.930	66.483
2009-09-25	31.407	34.422	59.000
2009-09-28	28.078	32.308	49.418
2009-09-29	25.201	29.939	38.763
2009-09-30	23.493	27.790	31.340
2009-10-09	25.283	26.955	32.654
2009-10-12	26.304	26.738	38.835
2009-10-13	28.116	27.197	44.807
2009-10-14	30.385	28.260	53.580
2009-10-15	32.420	29.647	62.276
2009-10-16	33.974	31.089	68.596
2009-10-19	36.687	32.955	76.278
2009-10-20	39.960	35.290	86.752
2009-10-21	42.247	37.609	93.598
2009-10-22	43.619	39.612	95.105
2009-10-23	46.063	41.763	96.828
2009-10-26	48.060	43.862	99.834
2009-10-27	47.555	45.093	97.149
2009-10-28	47.498	45.894	90.969
2009-10-29	46.221	46.003	83.335
2009-10-30	46.670	46.226	76.103
2009-11-02	50.414	47.622	76.999
2009-11-03	55.316	50.187	83.683
2009-11-04	60.116	53.496	90.047
2009-11-05	67.952	58.315	94.631
2009-11-06	73.643	63.424	97.106
2009-11-09	78.620	68.490	98.266
2009-11-10	81.759	72.913	97.953
2009-11-11	84.150	76.658	95.508
2009-11-12	85.984	79.767	92.993
2009-11-13	87.966	82.500	92.065
2009-11-16	90.357	85.119	94.115
2009-11-17	91.815	87.351	96.320
2009-11-18	93.078	89.260	97.120
2009-11-19	94.219	90.913	98.016
2009-11-20	94.677	92.168	97.981
2009-11-23	95.723	93.353	98.272
2009-11-24	92.758	93.154	93.026
2009-11-25	92.148	92.819	85.964
2009-11-26	87.852	91.163	78.586
2009-11-27	82.112	88.146	64.291
2009-11-30	80.572	85.622	55.785
2009-12-01	80.575	83.939	53.583
2009-12-02	81.637	83.172	53.540
2009-12-03	82.328	82.890	55.988
2009-12-04	84.496	83.426	61.526
2009-12-07	86.688	84.513	70.623
2009-12-08	87.356	85.461	75.514
2009-12-09	86.131	85.684	72.007
2009-12-10	85.604	85.658	66.406
2009-12-11	84.969	85.428	63.161
2009-12-14	86.173	85.676	64.657
2009-12-15	86.260	85.871	67.832
2009-12-16	85.737	85.826	66.528
2009-12-17	82.972	84.875	58.529
2009-12-18	78.751	82.834	42.501
2009-12-21	75.655	80.441	27.420
2009-12-22	70.946	77.276	15.585
2009-12-23	67.132	73.894	7.164
2009-12-24	65.809	71.199	9.318
2009-12-25	63.372	68.590	16.195
2009-12-28	63.421	66.867	23.933
2009-12-29	63.903	65.879	34.636
2009-12-30	66.610	66.123	47.494
2009-12-31	69.440	67.229	61.083
2010-01-04	70.180	68.212	69.007
2010-01-05	72.526	69.650	74.595
2010-01-06	73.125	70.808	79.087
2010-01-07	70.799	70.805	76.225
2010-01-08	69.084	70.232	70.341
2010-01-11	68.479	69.647	67.552
2010-01-12	70.790	70.028	71.410
2010-01-13	68.011	69.356	71.190
2010-01-14	67.748	68.820	66.843
2010-01-15	67.930	68.523	67.770
2010-01-18	68.667	68.571	70.029
2010-01-19	67.811	68.318	73.294
2010-01-20	61.215	65.950	68.737
2010-01-21	56.375	62.759	58.495
2010-01-22	50.619	58.712	48.261
2010-01-25	43.889	53.771	34.730
2010-01-26	36.082	47.875	21.134
2010-01-27	29.585	41.778	10.246
2010-01-28	25.190	36.249	3.848
2010-01-29	21.430	31.309	0.640
2010-02-01	18.414	27.011	-1.367
2010-02-02	15.705	23.242	-2.626
2010-02-03	17.393	21.292	1.208
2010-02-04	18.381	20.322	8.429
2010-02-05	16.800	19.148	10.500
2010-02-08	15.356	17.884	9.129
2010-02-09	14.780	16.849	9.092
2010-02-10	15.990	16.563	12.100
2010-02-11	17.093	16.740	16.417
2010-02-12	19.445	17.641	21.470
2010-02-22	20.663	18.649	25.986
2010-02-23	20.699	19.332	27.105
2010-02-24	22.512	20.392	29.127
2010-02-25	25.694	22.160	37.836
2010-02-26	27.849	24.056	49.325
2010-03-01	31.190	26.434	61.345
2010-03-02	33.267	28.712	73.832
2010-03-03	36.354	31.259	86.052
2010-03-04	35.358	32.626	89.437
2010-03-05	34.924	33.392	84.273
2010-03-08	35.619	34.134	83.116
2010-03-09	37.092	35.120	85.642
2010-03-10	37.299	35.847	86.569
2010-03-11	37.579	36.424	84.273
2010-03-12	35.985	36.278	77.456
2010-03-15	32.959	35.171	63.720
2010-03-16	31.302	33.882	51.005
2010-03-17	32.742	33.502	50.225
2010-03-18	33.683	33.562	55.893
2010-03-19	35.476	34.200	62.147
2010-03-22	37.238	35.213	70.164
2010-03-23	37.618	36.015	73.781
2010-03-24	38.099	36.709	73.234
2010-03-25	36.677	36.699	66.469
2010-03-26	37.486	36.961	61.754
2010-03-29	41.208	38.377	70.248
2010-03-30	44.410	40.388	82.057
2010-03-31	46.042	42.272	88.007
2010-04-01	49.186	44.577	92.304
2010-04-02	52.208	47.121	97.754
2010-04-06	55.716	49.986	99.451
2010-04-07	58.206	52.726	97.582
2010-04-08	58.639	54.697	92.096
2010-04-09	60.393	56.596	87.807
2010-04-12	60.946	58.046	85.743
2010-04-13	63.078	59.723	85.798
2010-04-14	65.591	61.679	89.398
2010-04-15	71.327	64.895	91.584
2010-04-16	73.540	67.777	87.877
2010-04-19	65.022	66.858	66.368
2010-04-20	58.156	63.958	40.155
2010-04-21	56.349	61.421	30.115
2010-04-22	52.585	58.476	25.440
2010-04-23	48.481	55.144	18.424
2010-04-26	44.235	51.508	11.525
2010-04-27	38.026	47.014	6.430
2010-04-28	32.626	42.218	3.369
2010-04-29	26.289	36.908	-0.726
2010-04-30	23.785	32.534	-2.411
2010-05-04	20.431	28.500	-1.749
2010-05-05	20.567	25.855	0.751
2010-05-06	16.664	22.792	1.661
2010-05-07	14.207	19.930	-0.859
2010-05-10	13.315	17.725	-0.446
2010-05-11	10.985	15.478	-0.418
2010-05-12	10.572	13.843	-0.297
2010-05-13	12.140	13.275	3.548
2010-05-14	12.913	13.155	7.897
2010-05-17	10.417	12.242	7.265
2010-05-18	10.332	11.605	5.968
2010-05-19	10.050	11.087	7.485
2010-05-20	8.848	10.341	7.300
2010-05-21	9.981	10.221	8.750
2010-05-24	13.457	11.299	16.242
2010-05-25	14.786	12.462	23.226
2010-05-26	15.877	13.600	26.632
2010-05-27	17.674	14.958	31.279
2010-05-28	19.107	16.341	36.290
2010-05-31	18.435	17.039	37.246
2010-06-01	17.215	17.098	34.270
2010-06-02	16.329	16.841	31.140
2010-06-03	15.083	16.255	28.224
2010-06-04	14.114	15.542	26.698
2010-06-07	12.142	14.408	23.750
2010-06-08	10.627	13.148	18.591
2010-06-09	11.414	12.570	21.991
2010-06-10	11.436	12.192	29.223
2010-06-11	11.663	12.016	32.940
2010-06-17	11.568	11.866	36.128
2010-06-18	10.147	11.293	33.420
2010-06-21	11.098	11.228	34.095
2010-06-22	11.929	11.462	42.220
2010-06-23	12.055	11.660	46.043
2010-06-24	12.067	11.795	45.639
2010-06-25	11.679	11.757	42.735
2010-06-28	10.867	11.460	37.180
2010-06-29	8.723	10.548	26.743
2010-06-30	7.379	9.492	15.933
2010-07-01	5.953	8.312	8.638
2010-07-02	6.228	7.618	7.465
2010-07-05	6.009	7.081	10.105
2010-07-06	6.888	7.017	14.173
2010-07-07	7.924	7.319	21.467
2010-07-08	8.795	7.811	27.035
2010-07-09	11.268	8.964	34.644
2010-07-12	13.800	10.576	45.529
2010-07-13	14.749	11.967	51.334
2010-07-14	16.131	13.355	53.562
2010-07-15	15.993	14.234	52.861
2010-07-16	16.049	14.839	48.628
2010-07-19	17.951	15.876	49.336
2010-07-20	21.222	17.658	57.534
2010-07-21	24.734	20.017	67.813
2010-07-22	28.728	22.921	77.970
2010-07-23	32.369	26.070	88.489
2010-07-26	36.255	29.465	97.177
2010-07-27	40.857	33.262	102.173
2010-07-28	47.242	37.922	104.984
2010-07-29	53.019	42.955	106.967
2010-07-30	58.582	48.164	106.799
2010-08-02	64.813	53.713	106.523
2010-08-03	67.482	58.303	103.552
2010-08-04	71.367	62.658	98.230
2010-08-05	73.507	66.274	93.428
2010-08-06	77.271	69.940	91.344
2010-08-09	81.053	73.644	93.494
2010-08-10	79.866	75.718	90.349
2010-08-11	79.582	77.006	83.412
2010-08-12	77.610	77.207	77.163
2010-08-13	77.735	77.383	72.837
2010-08-16	80.833	78.533	76.127
2010-08-17	83.868	80.311	82.892
2010-08-18	85.928	82.184	86.392
2010-08-19	88.012	84.126	88.180
2010-08-20	87.289	85.181	83.855
2010-08-23	86.557	85.640	73.422
2010-08-24	86.544	85.941	66.580
2010-08-25	83.722	85.202	54.970
2010-08-26	81.826	84.076	39.961
2010-08-27	80.689	82.947	32.030
2010-08-30	81.973	82.623	34.548
2010-08-31	82.274	82.507	41.055
2010-09-01	81.683	82.232	41.366
2010-09-02	82.931	82.465	44.467
2010-09-03	83.909	82.946	51.828
2010-09-06	86.830	84.241	63.278
2010-09-07	89.123	85.868	77.377
2010-09-08	90.798	87.512	86.438
2010-09-09	90.116	88.380	86.160
2010-09-10	89.926	88.895	80.868
2010-09-13	91.079	89.623	81.256
2010-09-14	92.011	90.419	84.643
2010-09-15	90.886	90.575	80.346
2010-09-16	87.389	89.513	62.481
2010-09-17	84.158	87.728	41.209
2010-09-20	80.654	85.370	25.802
2010-09-21	77.344	82.695	15.764
2010-09-27	77.002	80.797	15.618
2010-09-28	75.676	79.090	19.224
2010-09-29	74.572	77.584	19.422
2010-09-30	76.537	77.235	27.037
2010-10-08	80.725	78.398	46.602
2010-10-11	83.814	80.203	66.758
2010-10-12	86.962	82.456	81.526
2010-10-13	89.541	84.818	92.778
2010-10-14	89.833	86.489	97.862
2010-10-15	91.866	88.282	100.927
2010-10-18	90.680	89.081	101.674
2010-10-19	91.527	89.896	100.592
2010-10-20	91.687	90.493	101.037
2010-10-21	90.934	90.640	99.508
2010-10-22	89.975	90.418	96.820
2010-10-25	91.975	90.937	97.270
2010-10-26	92.328	91.401	98.986
2010-10-27	90.860	91.221	96.758
2010-10-28	89.510	90.650	92.965
2010-10-29	87.890	89.730	89.384
2010-11-01	89.550	89.670	89.369
2010-11-02	89.958	89.766	91.454
2010-11-03	89.734	89.755	91.201
2010-11-04	91.687	90.399	92.739
2010-11-05	92.896	91.232	95.655
2010-11-08	94.277	92.247	97.649
2010-11-09	94.560	93.018	98.096
2010-11-10	94.103	93.380	95.516
2010-11-11	94.011	93.590	92.581
2010-11-12	88.642	91.941	80.486
2010-11-15	85.293	89.725	60.448
2010-11-16	78.703	86.051	39.278
2010-11-17	71.614	81.239	19.120
2010-11-18	66.811	76.430	7.590
2010-11-19	63.723	72.194	4.055
2010-11-22	61.115	68.501	4.299
2010-11-23	57.199	64.734	2.623
2010-11-24	55.099	61.522	1.461
2010-11-25	54.670	59.238	4.985
2010-11-26	53.459	57.312	8.584
2010-11-29	52.316	55.647	9.816
2010-11-30	49.896	53.730	9.778
2010-12-01	48.066	51.842	9.257
2010-12-02	47.260	50.315	10.328
2010-12-03	46.577	49.069	12.252
2010-12-06	46.511	48.216	14.456
2010-12-07	47.068	47.834	17.783
2010-12-08	46.623	47.430	19.773
2010-12-09	45.040	46.633	18.030
2010-12-10	44.756	46.007	16.885
2010-12-13	47.200	46.405	26.996
2010-12-14	49.290	47.367	43.800
2010-12-15	50.451	48.395	59.679
2010-12-16	50.845	49.211	72.382
2010-12-17	50.738	49.720	78.655
2010-12-20	49.258	49.566	77.194
2010-12-21	49.812	49.648	76.878
2010-12-22	49.366	49.554	79.126
2010-12-23	46.460	48.523	74.572
2010-12-24	40.880	45.975	66.076
2010-12-27	33.755	41.902	51.341
2010-12-28	27.118	36.974	32.424
2010-12-29	22.986	32.311	19.724
2010-12-30	20.027	28.216	14.647
2010-12-31	19.744	25.392	16.972
2011-01-04	21.434	24.073	27.929
2011-01-05	22.182	23.442	38.717
2011-01-06	22.161	23.015	43.539
2011-01-07	22.773	22.934	46.889
2011-01-10	21.241	22.370	46.024
2011-01-11	20.543	21.761	41.999
2011-01-12	20.726	21.416	42.022
2011-01-13	21.147	21.326	44.316
2011-01-14	19.922	20.858	43.596
2011-01-17	16.260	19.325	33.574
2011-01-18	14.026	17.559	21.622
2011-01-19	14.190	16.436	19.457
2011-01-20	11.412	14.761	16.025
2011-01-21	10.978	13.500	11.631
2011-01-24	9.877	12.293	11.568
2011-01-25	8.511	11.032	8.895
2011-01-26	8.612	10.225	9.261
2011-01-27	10.229	10.227	17.113
2011-01-28	11.920	10.791	27.189
2011-01-31	16.824	12.802	38.440
2011-02-01	21.404	15.669	50.846
2011-02-09	25.237	18.859	57.531
2011-02-10	31.480	23.066	63.803
2011-02-11	37.135	27.755	73.205
2011-02-14	46.832	34.114	83.761
2011-02-15	54.597	40.942	92.012
2011-02-16	62.585	48.156	96.976
2011-02-17	69.181	55.164	101.620
2011-02-18	72.502	60.944	102.095
2011-02-21	77.495	66.461	102.279
2011-02-22	75.713	69.545	98.303
2011-02-23	74.790	71.293	89.594
2011-02-24	75.181	72.589	84.973
2011-02-25	75.490	73.556	82.767
2011-02-28	77.610	74.908	83.077
2011-03-01	80.287	76.701	86.188
2011-03-02	82.066	78.489	88.756
2011-03-03	82.724	79.901	89.041
2011-03-04	86.027	81.943	91.292
2011-03-07	88.573	84.153	95.624
2011-03-08	90.760	86.355	98.535
2011-03-09	92.044	88.251	99.894
2011-03-10	90.503	89.002	96.212
2011-03-11	87.939	88.648	86.289
2011-03-14	86.106	87.800	75.409
2011-03-15	82.279	85.960	61.908
2011-03-16	81.189	84.370	51.407
2011-03-17	78.405	82.382	44.586
2011-03-18	76.725	80.496	37.354
2011-03-21	75.510	78.834	34.224
2011-03-22	75.108	77.592	34.004
2011-03-23	76.460	77.215	39.064
2011-03-24	77.441	77.290	45.820
2011-03-25	80.000	78.194	54.077
2011-03-28	82.401	79.596	64.678
2011-03-29	82.842	80.678	69.398
2011-03-30	83.063	81.473	68.903
2011-03-31	81.663	81.536	64.551
2011-04-01	82.784	81.952	62.987
2011-04-06	85.618	83.174	71.429
2011-04-07	88.245	84.865	82.469
2011-04-08	90.538	86.756	91.218
2011-04-11	90.581	88.031	93.874
2011-04-12	90.546	88.869	91.683
2011-04-13	91.976	89.905	92.664
2011-04-14	92.730	90.846	95.239
2011-04-15	93.585	91.759	96.287
2011-04-18	94.369	92.629	97.315
2011-04-19	92.126	92.461	91.358
2011-04-20	90.724	91.882	81.276
2011-04-21	90.491	91.419	77.403
2011-04-22	89.475	90.771	74.021
2011-04-25	85.445	88.995	62.376
2011-04-26	80.299	86.097	44.507
2011-04-27	74.994	82.396	27.828
2011-04-28	68.253	77.681	13.635
2011-04-29	64.452	73.272	6.418
2011-05-03	61.151	69.231	8.389
2011-05-04	52.055	63.506	6.675
2011-05-05	44.554	57.189	1.697
2011-05-06	38.169	50.849	0.855
2011-05-09	33.798	45.165	2.060
2011-05-10	31.861	40.730	5.783
2011-05-11	29.692	37.051	9.747
2011-05-12	24.580	32.894	8.608
2011-05-13	22.962	29.583	7.125
2011-05-16	19.799	26.322	6.976
2011-05-17	18.403	23.682	6.332
2011-05-18	18.911	22.092	9.572
2011-05-19	18.245	20.810	13.058
2011-05-20	17.621	19.747	14.262
2011-05-23	14.330	17.941	11.685
2011-05-24	12.845	16.243	8.129
2011-05-25	10.543	14.343	5.885
2011-05-26	8.554	12.413	2.832
2011-05-27	6.921	10.583	0.582
2011-05-30	6.444	9.203	0.473
2011-05-31	8.025	8.810	5.100
2011-06-01	9.295	8.972	11.960
2011-06-02	8.902	8.948	14.809
2011-06-03	9.756	9.218	16.644
2011-06-07	11.272	9.902	21.585
2011-06-08	12.791	10.865	27.040
2011-06-09	11.604	11.111	26.780
2011-06-10	10.944	11.056	22.673
2011-06-13	10.312	10.808	20.187
2011-06-14	11.297	10.971	21.075
2011-06-15	10.848	10.930	22.137
2011-06-16	8.736	10.199	16.998
2011-06-17	7.056	9.151	10.008
2011-06-20	6.094	8.132	5.945
2011-06-21	6.430	7.565	6.192
2011-06-22	6.824	7.318	10.652
2011-06-23	8.844	7.826	20.877
2011-06-24	13.000	9.551	41.395
2011-06-27	16.851	11.984	64.859
2011-06-28	19.975	14.648	81.926
2011-06-29	21.128	16.808	89.168
2011-06-30	23.522	19.046	93.198
2011-07-01	25.318	21.137	98.254
2011-07-04	29.098	23.790	102.601
2011-07-05	32.276	26.619	107.176
2011-07-06	35.146	29.461	108.961
2011-07-07	36.752	31.892	106.727
2011-07-08	38.202	33.995	102.716
2011-07-11	39.648	35.879	100.301
2011-07-12	39.033	36.930	94.018
2011-07-13	41.495	38.452	88.672
2011-07-14	44.589	40.498	90.262
2011-07-15	47.897	42.964	93.647
2011-07-18	51.075	45.668	96.282
2011-07-19	52.396	47.910	95.396
2011-07-20	53.892	49.904	92.116
2011-07-21	53.940	51.249	86.222
2011-07-22	54.321	52.273	77.853
2011-07-25	48.892	51.146	58.760
2011-07-26	45.546	49.279	36.079
2011-07-27	44.300	47.620	26.134
2011-07-28	42.600	45.946	20.625
2011-07-29	40.724	44.206	14.369
2011-08-01	39.373	42.595	9.951
2011-08-02	36.497	40.562	7.402
2011-08-03	34.140	38.421	5.746
2011-08-04	32.660	36.501	5.727
2011-08-05	27.755	33.586	4.988
2011-08-08	23.831	30.334	2.864
2011-08-09	23.606	28.091	4.575
2011-08-10	24.613	26.932	10.318
2011-08-11	27.080	26.981	17.591
2011-08-12	29.653	27.872	25.197
2011-08-15	33.437	29.727	32.993
2011-08-16	35.509	31.654	39.420
2011-08-17	36.811	33.373	42.621
2011-08-18	35.706	34.151	42.318
2011-08-19	33.532	33.945	38.798
2011-08-22	30.842	32.911	34.281
2011-08-23	30.651	32.157	33.650
2011-08-24	29.834	31.383	35.606
2011-08-25	32.991	31.919	41.625
2011-08-26	35.358	33.065	51.127
2011-08-29	35.414	33.848	55.007
2011-08-30	34.954	34.217	54.933
2011-08-31	34.625	34.353	54.502
2011-09-01	33.781	34.162	53.162
2011-09-02	31.679	33.335	50.838
2011-09-05	27.453	31.374	43.925
2011-09-06	23.650	28.799	33.352
2011-09-07	22.948	26.849	28.453
2011-09-08	21.506	25.068	26.408
2011-09-09	20.291	23.476	22.982
2011-09-13	17.960	21.637	18.125
2011-09-14	16.790	20.022	15.281
2011-09-15	15.558	18.534	16.222
2011-09-16	14.741	17.269	17.344
2011-09-19	11.824	15.454	13.698
2011-09-20	10.512	13.807	8.593
2011-09-21	12.720	13.444	14.735
2011-09-22	10.993	12.627	18.663
2011-09-23	10.342	11.866	15.161
2011-09-26	8.660	10.797	11.791
2011-09-27	8.303	9.966	9.148
2011-09-28	7.033	8.988	7.475
2011-09-29	5.915	7.964	4.332
2011-09-30	5.192	7.040	2.515
2011-10-10	4.403	6.161	1.395
2011-10-11	4.539	5.620	2.395
2011-10-12	7.697	6.313	12.812
2011-10-13	11.152	7.926	29.567
2011-10-14	13.786	9.879	42.227
2011-10-17	16.551	12.103	50.903
2011-10-18	16.419	13.542	52.114
2011-10-19	16.020	14.368	46.592
2011-10-20	13.579	14.105	37.212
2011-10-21	11.035	13.082	24.662
2011-10-24	11.942	12.702	20.609
2011-10-25	14.789	13.397	27.727
2011-10-26	17.975	14.923	38.399
2011-10-27	20.940	16.929	49.487
2011-10-28	26.606	20.155	64.743
2011-10-31	31.072	23.794	80.152
2011-11-01	34.752	27.447	89.150
2011-11-02	39.768	31.554	96.546
2011-11-03	44.021	35.710	100.989
2011-11-04	48.652	40.024	102.777
2011-11-07	51.233	43.760	103.454
2011-11-08	52.935	46.818	101.140
2011-11-09	56.397	50.011	100.438
2011-11-10	56.258	52.094	97.318
2011-11-11	56.246	53.478	90.801
2011-11-14	59.315	55.423	90.529
2011-11-15	61.837	57.561	94.610
2011-11-16	59.797	58.307	91.606
2011-11-17	57.912	58.175	83.250
2011-11-18	53.400	56.584	72.763
2011-11-21	49.732	54.300	61.146
2011-11-22	46.635	51.745	49.719
2011-11-23	43.641	49.044	33.231
2011-11-24	41.425	46.504	19.153
2011-11-25	38.982	43.997	10.141
2011-11-28	37.794	41.929	2.701
2011-11-29	39.402	41.087	2.287
2011-11-30	33.808	38.661	2.444
2011-12-01	33.989	37.103	4.380
2011-12-02	31.852	35.353	8.868
2011-12-05	27.753	32.820	7.220
2011-12-06	23.836	29.825	3.930
2011-12-07	21.297	26.982	2.779
2011-12-08	19.359	24.441	3.310
2011-12-09	16.566	21.816	3.014
2011-12-12	13.358	18.997	0.726
2011-12-13	10.873	16.289	-1.549
2011-12-14	8.942	13.840	-2.716
2011-12-15	7.234	11.638	-3.372
2011-12-16	8.742	10.673	0.237
2011-12-19	9.863	10.403	7.164
2011-12-20	10.635	10.480	12.131
2011-12-21	9.921	10.294	13.401
2011-12-22	9.841	10.143	12.949
2011-12-23	10.731	10.339	14.726
2011-12-26	10.686	10.454	16.225
2011-12-27	9.415	10.108	14.268
2011-12-28	9.319	9.845	12.369
2011-12-29	9.419	9.703	12.626
2011-12-30	10.783	10.063	15.818
2012-01-04	10.383	10.170	18.386
2012-01-05	9.023	9.787	15.918
2012-01-06	8.741	9.438	13.937
2012-01-09	11.608	10.162	20.274
2012-01-10	16.863	12.395	37.795
2012-01-11	20.588	15.126	57.055
2012-01-12	23.516	17.923	72.229
2012-01-13	24.353	20.066	80.219
2012-01-16	23.123	21.085	76.239
2012-01-17	26.700	22.957	79.433
2012-01-18	27.979	24.631	87.320
2012-01-19	30.471	26.578	90.434
2012-01-20	33.606	28.921	96.939
2012-01-30	34.427	30.756	98.406
2012-01-31	35.470	32.327	95.816
2012-02-01	35.125	33.260	91.693
2012-02-02	37.064	34.528	90.636
2012-02-03	39.505	36.187	95.164
2012-02-06	41.494	37.956	98.264
2012-02-07	41.130	39.014	95.713
2012-02-08	43.611	40.546	94.380
2012-02-09	45.824	42.306	96.946
2012-02-10	49.197	44.603	97.333
2012-02-13	53.238	47.481	97.040
2012-02-14	57.174	50.712	95.221
2012-02-15	61.830	54.418	94.544
2012-02-16	64.879	57.905	94.842
2012-02-17	67.340	61.050	93.820
2012-02-20	69.750	63.950	92.404
2012-02-21	72.904	66.935	92.652
2012-02-22	76.950	70.273	95.323
2012-02-23	80.597	73.714	96.864
2012-02-24	84.455	77.295	97.931
2012-02-27	85.752	80.114	96.491
2012-02-28	87.068	82.432	92.868
2012-02-29	86.768	83.877	88.504
2012-03-01	86.391	84.715	82.848
2012-03-02	88.090	85.840	82.010
2012-03-05	88.541	86.740	83.255
2012-03-06	86.903	86.795	78.923
2012-03-07	84.687	86.092	70.369
2012-03-08	84.389	85.524	63.797
2012-03-09	85.260	85.436	63.316
2012-03-12	85.691	85.521	65.237
2012-03-13	87.246	86.096	68.875
2012-03-14	84.756	85.649	64.750
2012-03-15	81.753	84.351	49.170
2012-03-16	81.143	83.281	39.821
2012-03-19	80.969	82.511	39.091
2012-03-20	78.902	81.308	34.562
2012-03-21	77.327	79.981	24.595
2012-03-22	75.926	78.629	15.719
2012-03-23	73.288	76.849	8.167
2012-03-26	71.239	74.979	2.598
2012-03-27	69.402	73.120	-0.606
2012-03-28	64.328	70.189	-3.623
2012-03-29	58.377	66.252	-5.525
2012-03-30	53.633	62.045	-4.868
2012-04-05	50.425	58.172	0.550
2012-04-06	48.165	54.836	8.615
2012-04-09	44.885	51.519	12.988
2012-04-10	43.684	48.908	16.113
2012-04-11	42.940	46.918	20.452
2012-04-12	45.317	46.385	27.540
2012-04-13	46.152	46.307	36.930
2012-04-16	46.639	46.418	43.864
2012-04-17	45.162	45.999	49.412
2012-04-18	47.866	46.621	59.803
2012-04-19	49.840	47.694	72.062
2012-04-20	53.812	49.734	83.927
2012-04-23	55.442	51.636	92.937
2012-04-24	56.766	53.346	95.404
2012-04-25	59.348	55.347	98.266
2012-04-26	61.236	57.310	101.593
2012-04-27	62.036	58.885	102.073
2012-05-02	66.244	61.338	102.411
2012-05-03	69.750	64.142	103.882
2012-05-04	73.566	67.283	105.111
2012-05-07	76.613	70.393	106.022
2012-05-08	78.791	73.193	105.933
2012-05-09	77.119	74.502	100.854
2012-05-10	75.921	74.975	92.897
2012-05-11	73.670	74.540	84.978
2012-05-14	70.662	73.247	73.616
2012-05-15	67.757	71.417	59.153
2012-05-16	63.005	68.613	41.093
2012-05-17	61.974	66.400	29.671
2012-05-18	58.237	63.679	21.246
2012-05-21	55.651	61.003	11.112
2012-05-22	55.720	59.242	10.836
2012-05-23	54.932	57.805	13.859
2012-05-24	53.235	56.282	12.707
2012-05-25	50.388	54.317	7.779
2012-05-28	50.489	53.041	8.911
2012-05-29	52.987	53.023	20.816
2012-05-30	54.561	53.536	32.770
2012-05-31	54.756	53.943	38.672
2012-06-01	55.016	54.300	41.153
2012-06-04	49.675	52.758	33.717
2012-06-05	45.690	50.402	20.336
2012-06-06	42.911	47.905	12.496
2012-06-07	39.134	44.981	6.896
2012-06-08	35.007	41.657	2.661
2012-06-11	34.016	39.110	3.878
2012-06-12	31.702	36.640	6.670
2012-06-13	32.607	35.296	11.909
2012-06-14	31.158	33.916	16.826
2012-06-15	31.029	32.954	18.156
2012-06-18	31.797	32.569	22.746
2012-06-19	30.969	32.035	24.845
2012-06-20	29.557	31.209	22.092
2012-06-21	25.056	29.158	16.883
2012-06-25	20.136	26.151	10.513
2012-06-26	17.561	23.287	7.130
2012-06-27	15.089	20.555	6.233
2012-06-28	12.108	17.739	3.802
2012-06-29	12.457	15.978	4.697
2012-07-02	12.787	14.915	9.351
2012-07-03	13.284	14.371	14.138
2012-07-04	13.540	14.094	19.343
2012-07-05	11.785	13.325	19.485
2012-07-06	12.266	12.972	19.313
2012-07-09	9.967	11.970	17.540
2012-07-10	8.493	10.811	11.651
2012-07-11	8.059	9.894	9.627
2012-07-12	8.627	9.471	11.317
2012-07-13	9.108	9.350	14.249
2012-07-16	7.404	8.702	12.519
2012-07-17	7.186	8.196	9.537
2012-07-18	7.674	8.022	10.941
2012-07-19	9.063	8.369	15.540
2012-07-20	9.146	8.628	19.276
2012-07-23	7.686	8.314	17.022
2012-07-24	7.121	7.916	14.094
2012-07-25	6.038	7.290	11.957
2012-07-26	4.955	6.512	7.939
2012-07-27	4.515	5.846	5.633
2012-07-30	3.762	5.152	4.148
2012-07-31	3.241	4.515	2.332
2012-08-01	4.170	4.400	4.323
2012-08-02	4.082	4.294	7.112
2012-08-03	5.487	4.691	10.985
2012-08-06	8.121	5.835	21.736
2012-08-07	10.412	7.361	35.981
2012-08-08	12.476	9.066	48.739
2012-08-09	15.021	11.051	60.743
2012-08-10	16.696	12.933	70.263
2012-08-13	15.802	13.889	68.268
2012-08-14	15.528	14.435	60.819
2012-08-15	13.705	14.192	51.542
2012-08-16	11.795	13.393	38.300
2012-08-17	10.453	12.413	28.574
2012-08-20	9.747	11.524	23.586
2012-08-21	10.238	11.096	23.649
2012-08-22	9.751	10.647	24.010
