
股票	日期	机构或基金名称	持有数量(股)	占流通股比例	持股变化(股)	变动比例
家家悦 [603708]	20200331	招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金	387.53	0.64	387.53	100%
开立医疗 [300633]	20200331	招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金	346.42	1.76	346.42	100%
恒铭达 [002947]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	79.27	1.93	9.3	13.29%
睿创微纳 [688002]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	62.02	1.14	62.02	100%
八方股份 [603489]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	45.33	1.51	45.33	100%
特宝生物 [688278]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅-晓峰1号睿远证券投资基金	35.53	0.93	35.53	100%


股票	日期	机构或基金名称	持有数量(股)	占流通股比例	持股变化(股)	变动比例
紫金矿业 [601899]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	31500	1.26	3199.82	11.29%
保利地产 [600048]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	9077.26	0.76	497.16	5.79%
三安光电 [600703]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	4524.16	1.11	819.66	22.13%
*ST湘电 [600416]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	3557.09	3.76	1545.64	76.84%
顺丰控股 [002352]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	2251.2	0.52	2251.2	100%
老百姓 [603883]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	558.67	2.09	54.44	10.8%
欧派家居 [603833]	20200331	兴业银行股份有限公司-兴全趋势投资混合型证券投资基金	208.61	0.5	208.61	100%


股票	日期	机构或基金名称	持有数量(股)	占流通股比例	持股变化(股)	变动比例
科大讯飞 [002230]	20200331	葛卫东	3622.15	1.94	85	2.4%
锐科激光 [300747]	20200331	葛卫东	169.5	1.72	10.5	6.6%


股票	日期	机构或基金名称	持有数量(股)	占流通股比例	持股变化(股)	变动比例
宁夏建材 [600449]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	196.02	0.41	196.02	100%
春秋电子 [603890]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	194.41	1.43	194.41	100%
广博股份 [002103]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	114.04	0.3	114.04	100%
金龙羽 [002882]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	55.35	0.64	55.35	100%
圣龙股份 [603178]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	48.73	0.24	48.73	100%
祥和实业 [603500]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	42.58	0.84	42.58	100%
侨银环保 [002973]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	36.47	0.89	36.47	100%
东华测试 [300354]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	34.96	0.45	34.96	100%
怡达股份 [300721]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	34.19	0.81	34.19	100%
阿石创 [300706]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	32.72	0.53	32.72	100%
钢研纳克 [300797]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	31.19	0.5	31.19	100%
光莆股份 [300632]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	24.57	0.42	24.57	100%
容大感光 [300576]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	24.41	0.41	24.41	100%
锐明技术 [002970]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	24.33	1.13	24.33	100%
和远气体 [002971]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	23.85	0.6	23.85	100%
实丰文化 [002862]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	23.24	0.75	23.24	100%
安奈儿 [002875]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	22.38	0.57	22.38	100%
佳禾智能 [300793]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	21.94	0.53	21.94	100%
指南针 [300803]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	21.56	0.38	21.56	100%
海星股份 [603115]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	21.54	0.41	21.54	100%
XD神马电 [603530]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	20.63	0.52	20.63	100%
隆利科技 [300752]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	20.41	0.62	20.41	100%
明德生物 [002932]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	19.39	0.65	19.39	100%
西麦食品 [002956]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	15.93	0.8	15.93	100%
因赛集团 [300781]	20200331	上海明汯投资管理有限公司-明汯价值成长1期私募投资基金	15.25	0.72	15.25	100%
